Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes
2021-11-20,2,12,16,4,16,42,423,20,19,8,40,14,5,20,4,2
2021-11-21,2,13,17,3,19,38,423,21,19,9,43,17,5,21,4,3
2021-11-22,2,12,17,3,18,41,417,21,17,9,44,19,6,20,4,3
2021-11-23,2,12,17,2,17,42,425,23,17,7,44,15,5,19,4,3
2021-11-24,2,14,18,2,16,42,414,24,21,8,45,18,4,20,3,3
2021-11-25,2,14,17,3,16,46,410,25,21,7,53,17,4,25,3,6
2021-11-26,2,13,16,2,16,46,416,24,18,8,51,18,5,27,3,6
2021-11-27,2,13,16,3,15,45,409,26,24,8,54,18,4,26,5,6
2021-11-28,2,13,17,2,15,45,408,26,25,9,56,17,4,26,6,5
2021-11-29,2,12,19,2,18,46,405,26,28,9,57,17,3,25,6,5
2021-11-30,2,10,20,3,18,46,406,26,33,10,60,19,4,28,6,5
2021-12-01,1,10,21,2,18,48,392,31,32,10,59,19,4,30,6,5
2021-12-02,2,10,21,1,17,48,403,28,32,10,65,21,4,34,7,3
2021-12-03,2,12,20,3,16,50,385,30,30,10,62,20,4,37,7,4
2021-12-04,2,13,20,3,16,52,379,30,28,9,66,19,4,40,7,4
2021-12-05,2,11,22,3,17,55,365,29,29,11,72,19,4,45,6,3
2021-12-06,3,10,21,3,16,57,362,29,27,12,69,19,8,45,7,2
2021-12-07,3,10,20,3,15,57,375,29,22,10,72,19,8,47,6,2
2021-12-08,3,9,21,3,14,58,365,26,20,9,73,21,8,46,7,2
2021-12-09,3,9,22,2,15,62,364,27,19,9,73,23,8,44,6,2
2021-12-10,2,9,22,2,16,58,356,27,16,9,78,24,9,45,6,3
2021-12-11,3,10,22,1,18,58,354,25,13,9,84,23,10,48,6,3
2021-12-12,3,9,20,2,18,59,340,23,15,9,83,24,9,45,6,5
2021-12-13,3,11,18,2,18,62,333,22,14,9,84,25,10,40,6,5
2021-12-14,3,11,18,3,19,63,325,24,17,9,88,26,10,46,8,5
2021-12-15,2,10,18,3,19,61,327,22,17,9,85,24,9,46,8,8
2021-12-16,2,10,16,3,18,62,324,20,17,10,89,25,8,42,9,6
2021-12-17,1,10,16,3,17,57,316,19,17,11,85,21,7,43,8,6
2021-12-18,1,10,17,3,15,55,315,18,16,10,87,23,7,42,7,6
2021-12-19,1,9,17,3,15,55,311,19,15,9,83,24,6,45,7,7
2021-12-20,1,9,19,2,15,55,309,18,15,9,78,24,5,46,8,7
2021-12-21,1,8,17,3,16,52,307,18,13,8,77,23,7,45,6,7
2021-12-22,1,8,18,3,16,49,285,17,14,8,78,22,7,45,8,8
2021-12-23,1,8,19,3,16,48,286,16,15,9,77,19,7,43,7,7
2021-12-24,1,8,18,3,14,44,268,15,12,9,76,19,7,45,7,9
2021-12-25,1,7,18,3,15,42,266,16,12,8,78,18,9,47,7,8
2021-12-26,1,6,14,4,15,39,260,15,12,8,79,21,10,51,7,10
2021-12-27,1,6,14,3,15,40,251,15,14,8,77,20,9,52,7,10
2021-12-28,1,6,15,3,14,41,257,14,15,8,82,19,9,50,8,8
2021-12-29,2,6,15,3,16,42,258,15,16,8,78,17,9,52,7,7
2021-12-30,2,6,13,3,15,42,246,14,17,8,77,17,8,50,6,7
2021-12-31,2,6,14,2,18,37,241,14,15,9,74,19,9,48,6,8
2022-01-01,2,6,15,2,14,38,238,12,15,9,72,19,9,47,6,8
2022-01-02,2,6,19,2,14,39,237,12,14,9,72,20,10,50,6,7
2022-01-03,2,6,17,2,15,40,229,14,16,9,72,20,10,47,5,7
2022-01-04,2,6,17,2,15,40,229,14,14,9,75,19,13,51,5,7
2022-01-05,2,6,16,2,10,38,220,14,13,9,69,15,13,51,5,5
2022-01-06,2,6,15,2,10,40,214,14,12,8,68,18,10,50,5,5
2022-01-07,2,6,17,2,10,40,215,14,12,8,65,20,11,47,5,5
2022-01-08,2,6,17,2,10,39,202,13,14,8,63,18,10,42,5,6
2022-01-09,2,6,20,2,10,42,201,12,14,7,62,19,10,43,4,6
2022-01-10,2,5,20,2,10,42,199,12,15,8,61,20,10,44,4,6
2022-01-11,1,5,22,2,12,43,193,12,14,9,66,20,8,42,5,6
2022-01-12,1,5,26,2,12,40,190,10,14,8,64,18,7,37,5,6
2022-01-13,1,5,26,2,12,42,191,11,15,8,62,18,6,37,5,3
2022-01-14,1,5,25,2,10,41,183,10,14,7,62,20,6,32,5,4
2022-01-15,1,5,26,2,11,43,173,9,17,8,64,20,4,31,4,3
2022-01-16,1,6,25,2,10,38,170,8,17,8,63,20,6,29,4,4
2022-01-17,1,8,25,2,9,39,171,8,17,10,63,21,6,29,4,4
2022-01-18,1,9,25,2,9,38,178,8,18,10,63,19,6,27,4,4
2022-01-19,1,8,23,2,9,37,170,9,17,10,60,21,7,28,4,3
2022-01-20,1,9,24,2,11,35,183,8,16,9,60,22,4,29,3,6
2022-01-21,1,9,20,2,10,35,183,7,18,9,52,22,4,29,3,6
2022-01-22,1,11,21,2,11,32,182,7,17,10,53,21,4,32,2,6
2022-01-23,1,9,16,2,9,33,180,5,17,12,52,22,4,28,2,9
2022-01-24,2,11,17,2,9,33,185,6,16,11,53,21,4,27,2,8
2022-01-25,3,10,19,2,10,32,193,5,16,9,47,23,4,28,2,8
2022-01-26,2,9,21,2,11,29,201,7,14,8,51,23,5,24,2,9
2022-01-27,2,13,22,2,11,31,200,8,16,8,52,21,5,23,2,7
2022-01-28,3,12,23,2,11,33,200,8,13,8,49,24,7,24,2,6
2022-01-29,5,13,22,2,13,32,198,8,17,8,49,22,6,23,2,6
2022-01-30,5,16,20,3,13,33,211,8,19,8,47,22,5,20,1,6
2022-01-31,5,16,21,1,14,32,209,8,19,7,47,23,4,20,1,8
2022-02-01,5,19,23,1,17,35,229,8,20,8,48,24,4,21,2,10
2022-02-02,4,23,25,2,19,33,255,9,23,8,48,22,3,22,3,12
2022-02-03,6,24,26,1,18,38,262,9,21,8,46,23,2,24,3,13
2022-02-04,6,24,26,1,20,39,272,16,25,8,42,23,3,23,3,14
2022-02-05,7,24,27,2,21,44,295,17,23,9,37,23,3,23,3,15
2022-02-06,9,23,28,3,23,51,309,16,23,9,37,25,4,21,4,16
2022-02-07,10,22,28,4,23,50,330,17,23,11,39,26,4,25,4,16
2022-02-08,9,21,29,5,23,55,341,19,22,12,40,28,4,24,4,16
2022-02-09,6,21,35,5,20,60,354,21,27,13,39,29,4,22,5,17
2022-02-10,9,21,37,5,25,56,381,21,28,12,44,36,4,22,3,16
2022-02-11,9,22,39,5,26,60,409,20,32,14,43,39,4,28,4,12
2022-02-12,9,22,39,6,24,68,421,24,31,14,49,33,8,27,4,11
2022-02-13,8,22,43,4,25,74,413,25,34,15,49,33,9,35,3,11
2022-02-14,8,21,42,5,29,73,435,26,35,17,63,37,8,36,3,15
2022-02-15,7,24,42,6,25,79,447,26,38,18,62,37,9,41,4,15
2022-02-16,9,25,42,8,25,80,464,31,35,18,64,38,9,45,7,15
2022-02-17,7,24,38,10,25,81,486,32,42,20,71,38,10,51,6,17
2022-02-18,9,24,35,9,25,79,487,34,44,20,75,40,11,56,7,15
2022-02-19,6,22,36,8,31,77,507,39,45,20,79,42,12,51,5,14
2022-02-20,9,23,39,8,32,80,503,44,43,20,83,43,9,53,7,12
2022-02-21,9,23,40,8,32,76,516,42,41,20,82,42,10,46,6,12
2022-02-22,8,23,40,8,31,75,516,46,45,23,85,45,11,46,6,12
2022-02-23,7,24,41,8,30,82,523,47,46,24,82,48,13,49,6,13
2022-02-24,7,23,40,10,30,86,523,50,50,24,91,51,14,51,7,13
2022-02-25,6,21,41,10,32,93,527,54,50,27,96,48,16,54,5,13
2022-02-26,6,21,44,10,28,96,526,50,51,28,105,49,17,56,5,14
2022-02-27,7,20,40,10,24,88,525,44,50,25,103,49,13,56,5,12
2022-02-28,9,19,41,11,24,90,521,45,51,26,104,48,14,56,5,15
2022-03-01,6,19,43,11,23,90,535,46,57,29,106,48,16,57,5,16
2022-03-02,5,20,42,12,24,92,521,54,60,28,102,47,16,58,5,14
2022-03-03,5,20,41,12,24,97,519,51,58,29,99,53,15,64,4,14
2022-03-04,4,18,39,10,27,94,514,53,61,29,99,52,15,65,3,13
2022-03-05,7,18,41,8,25,90,501,49,56,26,100,50,14,60,3,13
2022-03-06,5,17,38,10,25,91,494,51,60,28,97,44,13,62,3,12
2022-03-07,4,14,35,11,24,88,499,52,54,26,106,48,15,60,4,11
2022-03-08,5,17,36,10,26,89,492,51,63,33,104,46,16,60,3,9
2022-03-09,4,17,35,8,27,89,485,47,58,25,99,51,16,62,4,9
2022-03-10,3,15,34,10,28,86,470,48,57,24,99,48,15,61,3,10
2022-03-11,4,15,34,10,24,87,463,48,53,26,103,48,16,56,3,10
2022-03-12,4,14,34,9,22,87,449,46,59,25,95,45,17,51,3,11
2022-03-13,3,15,32,8,22,86,432,46,53,24,91,49,9,54,3,9
2022-03-14,5,17,30,10,22,88,430,45,56,18,93,43,11,56,3,11
2022-03-15,5,14,31,11,25,85,421,48,58,19,92,46,9,55,2,10
2022-03-16,6,14,31,10,23,86,403,45,55,21,85,47,8,50,3,9
2022-03-17,5,15,28,8,26,87,401,36,56,23,79,46,8,46,2,9
2022-03-18,3,14,26,7,24,87,384,33,57,25,81,46,7,46,2,9
2022-03-19,2,13,25,8,22,74,360,30,52,24,77,43,7,47,2,9
2022-03-20,2,13,25,9,21,79,350,31,48,23,74,40,8,44,2,6
2022-03-21,2,13,26,9,20,81,351,33,52,18,73,38,7,45,2,7
2022-03-22,2,15,24,8,21,80,347,33,52,24,68,36,7,44,2,6
2022-03-23,3,14,23,9,24,77,331,33,51,18,72,37,7,38,2,5
2022-03-24,3,15,23,11,19,76,331,32,54,19,71,31,7,36,2,5
2022-03-25,3,12,24,8,20,72,323,34,53,15,66,28,6,35,2,6
2022-03-26,3,11,24,8,20,74,323,28,51,15,66,32,5,33,2,6
2022-03-27,3,10,23,8,18,65,314,26,48,15,61,32,7,32,2,6
2022-03-28,3,10,21,7,15,63,317,26,47,12,60,30,5,31,2,6
2022-03-29,2,11,21,5,14,62,308,24,48,12,57,32,6,30,2,7
2022-03-30,2,9,20,6,13,67,306,24,47,11,52,26,5,29,3,7
2022-03-31,2,8,18,5,12,64,286,25,40,11,49,25,5,29,3,7
2022-04-01,2,8,18,4,13,63,279,24,38,11,51,22,6,25,3,6
2022-04-02,2,8,19,5,12,57,267,24,35,12,45,22,4,25,3,6
2022-04-03,2,4,19,5,13,60,259,24,33,10,40,18,3,25,3,6
2022-04-04,2,3,19,5,13,59,260,22,33,10,41,17,2,24,3,5
2022-04-05,1,3,19,6,14,59,265,22,29,12,43,16,2,22,3,4
2022-04-06,1,3,20,6,14,56,255,18,26,12,39,17,2,25,3,2
2022-04-07,1,3,18,6,14,59,242,18,23,12,38,15,2,22,3,3
2022-04-08,1,3,18,5,13,52,241,16,23,11,36,17,2,20,3,3
2022-04-09,1,3,17,4,12,47,234,13,25,10,34,15,2,20,3,3
2022-04-10,2,3,16,5,12,44,222,13,17,9,35,16,3,21,2,3
2022-04-11,1,3,16,4,12,43,219,13,18,9,34,14,3,22,2,3
2022-04-12,1,3,16,3,13,42,214,12,24,9,33,16,3,21,2,2
2022-04-13,1,3,15,4,11,39,200,10,23,10,31,10,3,15,2,2
2022-04-14,1,3,15,4,11,38,188,9,22,8,30,12,3,14,1,2
2022-04-15,1,3,16,4,11,37,178,8,21,8,31,11,3,13,1,2
2022-04-16,2,3,13,7,11,36,174,8,22,5,26,12,4,13,0,2
2022-04-17,2,4,12,6,11,34,163,8,22,5,23,9,4,12,0,2
2022-04-18,2,4,12,6,11,35,156,9,22,5,23,9,4,12,0,1
2022-04-19,2,4,12,6,9,37,152,9,19,5,25,7,4,10,0,2
2022-04-20,2,5,12,6,9,34,150,9,19,5,26,7,6,13,0,2
2022-04-21,2,4,12,6,9,32,146,10,16,5,28,6,6,11,0,2
2022-04-22,2,5,11,6,9,33,148,9,15,5,24,6,5,10,0,2
2022-04-23,2,3,11,6,8,31,153,9,15,5,21,6,5,9,0,2
2022-04-24,2,3,10,6,9,30,143,9,7,4,19,5,5,9,0,2
2022-04-25,2,3,10,6,9,30,142,8,7,5,21,5,5,9,0,1
2022-04-26,3,3,10,6,10,28,137,8,15,4,20,5,4,11,0,2
2022-04-27,3,4,10,7,10,30,126,8,14,4,20,5,3,9,0,2
2022-04-28,2,3,10,6,10,26,123,8,9,4,19,5,2,9,0,3
2022-04-29,2,3,10,4,8,24,121,7,9,5,19,5,2,9,0,3
2022-04-30,1,3,10,4,11,22,113,8,9,5,17,5,2,8,0,3
2022-05-01,0,3,10,3,11,22,110,8,8,5,15,4,1,8,0,3
2022-05-02,1,3,8,4,11,20,111,8,8,5,14,4,1,9,0,2
2022-05-03,1,3,7,3,11,21,112,7,7,4,15,4,1,8,0,2
2022-05-04,0,3,7,4,11,19,108,6,7,3,14,4,1,8,0,2
2022-05-05,0,3,7,4,11,18,108,6,7,2,15,6,1,7,0,2
2022-05-06,0,1,7,4,10,18,100,4,6,2,14,5,1,7,0,1
2022-05-07,0,1,7,3,9,17,96,3,8,2,14,5,1,8,0,1
2022-05-08,0,1,8,4,8,17,94,3,8,2,14,7,2,7,0,1
2022-05-09,0,1,7,5,7,17,95,3,6,2,14,6,2,7,0,1
2022-05-10,0,1,7,4,7,15,91,3,5,4,13,6,2,8,0,1
2022-05-11,0,1,7,4,8,15,92,4,9,5,12,7,2,6,0,1
2022-05-12,0,1,6,4,10,16,94,5,8,3,13,8,2,6,0,1
2022-05-13,0,1,5,4,10,16,91,5,8,3,13,7,1,6,0,1
2022-05-14,0,1,5,5,8,15,86,5,8,2,12,7,1,6,1,1
2022-05-15,0,1,5,5,8,13,85,5,5,2,13,8,1,5,1,2
2022-05-16,0,1,3,4,8,15,83,5,6,4,12,7,1,4,1,2
2022-05-17,0,1,3,4,8,14,88,6,6,2,13,7,1,4,1,3
2022-05-18,0,1,3,4,9,15,81,6,5,2,10,6,1,4,1,2
2022-05-19,0,1,4,3,8,15,81,6,4,2,9,7,1,3,1,2
2022-05-20,1,2,3,3,7,12,81,5,4,1,8,6,2,3,1,2
2022-05-21,1,2,3,4,7,10,86,5,3,1,7,6,2,3,1,2
2022-05-22,1,2,3,4,7,10,87,5,3,1,6,5,2,3,1,2
2022-05-23,0,2,3,3,7,10,85,4,3,1,7,6,1,2,1,1
2022-05-24,1,2,3,3,7,10,86,4,3,1,7,5,1,2,1,1
2022-05-25,1,2,3,3,6,10,82,4,3,2,7,5,0,3,1,1
